borough,hour_group,factor_group,crashes,actual_casualty_probability,actual_average_casualties,predicted_average_casualties
BROOKLYN,Evening,Failure to yield,50,0.78,0.88,0.8951764473692824
QUEENS,Evening,Failure to yield,48,0.7083333333333334,0.8125,0.8335347896623823
BROOKLYN,Midday,Failure to yield,32,0.8125,1.0,0.7932839588134764
BROOKLYN,Evening,Following too closely,36,0.4444444444444444,0.8055555555555556,0.7924921364616502
QUEENS,Evening,Following too closely,30,0.5333333333333333,0.7666666666666667,0.7689384071714628
BRONX,Evening,Driver distraction,46,0.6086956521739131,0.9130434782608695,0.7673697389687321
QUEENS,Midday,Failure to yield,33,0.6666666666666666,0.7878787878787878,0.7604878433893865
BROOKLYN,Evening,Driver distraction,139,0.48201438848920863,0.5683453237410072,0.7472348050729709
BRONX,Midday,Driver distraction,54,0.5740740740740741,0.7222222222222222,0.7456044267950185
BRONX,Evening,Other,92,0.3804347826086957,0.5543478260869565,0.733820937351093
BROOKLYN,Midday,Driver distraction,94,0.5,0.7021276595744681,0.6930224583268709
QUEENS,Evening,Driver distraction,142,0.5985915492957746,0.8802816901408451,0.692762044234311
BRONX,Morning,Driver distraction,41,0.5121951219512195,0.8292682926829268,0.6845141163737759
BROOKLYN,Evening,Other,177,0.4293785310734463,0.559322033898305,0.683219535871808
BRONX,Midday,Other,48,0.4375,0.5,0.6827791294393508
BRONX,Evening,Unspecified,107,0.5607476635514018,0.6915887850467289,0.679953841044372
STATEN ISLAND,Evening,Driver distraction,46,0.391304347826087,0.5217391304347826,0.676043581239162
BROOKLYN,Evening,Unspecified,228,0.4824561403508772,0.6096491228070176,0.6445269539881339
BRONX,Late night,Other,52,0.36538461538461536,0.6346153846153846,0.6412897234307032
BROOKLYN,Late night,Driver distraction,53,0.39622641509433965,0.4528301886792453,0.6335444679328595
QUEENS,Evening,Other,145,0.45517241379310347,0.7517241379310344,0.6329988278549042
QUEENS,Midday,Driver distraction,66,0.5757575757575758,0.6818181818181818,0.6304813494112027
MANHATTAN,Evening,Driver distraction,81,0.5555555555555556,0.691358024691358,0.6296136299313424
BRONX,Midday,Unspecified,51,0.5098039215686274,0.6470588235294118,0.6290632696265268
BROOKLYN,Midday,Other,145,0.3724137931034483,0.4827586206896552,0.6286887070092775
BROOKLYN,Morning,Driver distraction,69,0.5217391304347826,0.6666666666666666,0.6281907916381794
BRONX,Morning,Other,50,0.42,0.72,0.6220706805669868
QUEENS,Late night,Driver distraction,59,0.3050847457627119,0.5254237288135594,0.6152994381215702
STATEN ISLAND,Midday,Driver distraction,32,0.375,0.53125,0.6103936721954147
QUEENS,Evening,Unspecified,137,0.5036496350364964,0.6934306569343066,0.5944231335023749
BROOKLYN,Late night,Other,72,0.4027777777777778,0.5555555555555556,0.5921663120359119
BRONX,Late night,Unspecified,48,0.4791666666666667,0.8541666666666666,0.5910397834021665
MANHATTAN,Midday,Driver distraction,59,0.4576271186440678,0.5423728813559322,0.5906930399124063
BROOKLYN,Midday,Unspecified,115,0.46956521739130436,0.5652173913043478,0.5875860923043008
MANHATTAN,Evening,Other,151,0.37748344370860926,0.4370860927152318,0.5780811239990425
BRONX,Morning,Unspecified,48,0.5,0.6666666666666666,0.576362438442031
QUEENS,Midday,Other,100,0.36,0.43,0.5707390359038668
BROOKLYN,Morning,Other,84,0.38095238095238093,0.4880952380952381,0.5689674393041569
QUEENS,Morning,Driver distraction,50,0.32,0.42,0.5652732428873771
MANHATTAN,Late night,Driver distraction,35,0.45714285714285713,0.5428571428571428,0.5590169237257366
BROOKLYN,Late night,Unspecified,53,0.4339622641509434,0.5660377358490566,0.5530527701479045
QUEENS,Late night,Other,81,0.2962962962962963,0.43209876543209874,0.5504134228267235
BROOKLYN,Morning,Unspecified,84,0.30952380952380953,0.5238095238095238,0.543959339483474
QUEENS,Midday,Unspecified,81,0.43209876543209874,0.5679012345679012,0.5398821076958721
MANHATTAN,Evening,Unspecified,115,0.4434782608695652,0.5043478260869565,0.5362617208546703
QUEENS,Morning,Other,83,0.42168674698795183,0.5903614457831325,0.5313095097189151
MANHATTAN,Midday,Other,91,0.34065934065934067,0.4065934065934066,0.5271382708606935
QUEENS,Late night,Unspecified,42,0.2857142857142857,0.42857142857142855,0.5216159963839679
MANHATTAN,Late night,Other,55,0.36363636363636365,0.6181818181818182,0.5097530315368212
MANHATTAN,Midday,Unspecified,59,0.4745762711864407,0.5423728813559322,0.5029151098381449
QUEENS,Morning,Unspecified,55,0.41818181818181815,0.5636363636363636,0.5005489575853879
MANHATTAN,Morning,Other,43,0.3488372093023256,0.5581395348837209,0.4886031837572522
MANHATTAN,Morning,Unspecified,32,0.40625,0.46875,0.46630478579579726
MANHATTAN,Late night,Unspecified,50,0.4,0.52,0.46484745047439296
